word,https://www.iiserkol.ac.in/,https://www.iisermohali.ac.in/,https://www.iiserpune.ac.in/,https://www.iisertirupati.ac.in/
and,22,0,35,31
of,22,8,14,31
the,24,3,24,15
research,7,5,14,33
iiser,13,15,15,14
in,17,2,20,8
science,5,6,12,14
for,6,2,13,14
nirf,19,2,1,4
on,3,0,11,11
students,8,5,1,10
about,1,0,5,17
master,0,0,1,22
at,3,4,9,6
phd,1,0,2,19
to,9,2,8,2
campus,5,2,11,2
events,1,3,11,3
year,0,0,0,18
facilities,5,3,4,5
national,2,1,5,9
news,3,4,7,3
pune,0,0,15,1
ms,0,0,2,14
a,9,0,5,2
tirupati,0,0,0,15
sciences,1,6,2,6
mohali,0,14,0,1
bs,0,0,1,13
kolkata,13,0,0,1
india,4,2,5,3
faculty,3,4,6,1
day,0,5,3,5
library,2,1,3,7
student,6,1,2,4
alumni,2,1,7,2
teaching,3,1,3,5
by,5,3,4,0
professional,0,0,0,11
education,3,1,3,4
academic,6,1,2,2
internal,3,2,1,5
more,4,0,7,0
institute,2,4,2,2
committee,1,6,1,2
cell,7,1,1,0
media,1,1,6,1
two,0,0,2,7
departments,2,2,1,4
posted,0,0,8,0
fee,3,0,1,4
center,0,2,1,5
policy,2,3,2,1
social,1,1,1,5
awards,2,0,6,0
prof,0,0,8,0
program,2,0,0,6
physics,0,0,3,5
centre,3,0,5,0
with,1,2,1,3
new,2,0,5,0
programs,0,0,0,7
publications,0,0,2,5
development,2,0,1,4
admissions,0,0,1,6
sports,0,2,1,4
calendar,2,3,1,1
chemistry,0,0,2,5
highlights,1,0,1,5
us,2,2,1,2
indian,1,0,0,6
scheme,0,0,0,6
achievements,4,2,0,0
rules,0,2,0,4
school,3,2,0,1
academics,0,3,2,1
conference,0,0,0,6
courses,2,0,0,4
pmrf,2,0,0,4
climate,0,0,1,5
reports,0,0,2,4
care,3,1,1,1
programmes,2,1,3,0
postdoctoral,0,0,2,4
knowledge,0,1,0,5
it,0,0,1,5
minister,0,1,1,4
hostel,2,2,1,1
honours,0,0,6,0
visvesvaraya,0,0,0,6
announcements,0,1,2,3
activities,0,0,2,4
affairs,2,0,3,0
annual,2,1,0,2
anti,3,1,0,1
institutes,1,2,0,2
guidelines,2,1,1,1
iks,0,0,0,5
links,1,1,1,2
journals,0,0,0,5
international,1,1,3,0
is,2,0,0,3
fellows,0,0,4,1
vision,4,0,1,0
from,2,0,2,1
dr,0,2,3,0
credits,0,1,0,4
members,0,1,4,0
people,1,2,1,1
copyright,1,2,1,1
contact,1,0,1,3
ranking,0,0,1,4
programme,0,0,5,0
public,2,1,2,0
ragging,3,1,0,1
policies,2,0,2,1
our,1,0,4,0
out,2,0,2,1
outreach,1,2,2,0
career,0,0,1,4
systems,0,0,0,5
rti,3,1,0,1
as,2,1,2,0
stem,0,0,3,2
director,3,1,0,1
payment,0,0,1,4
essintegrated,0,0,0,4
fellowship,0,0,0,4
eoi,1,1,1,1
mathematics,1,0,2,1
learning,2,0,2,0
lectures,0,2,2,0
hon,0,3,1,0
governors,0,0,0,4
guest,2,0,1,1
information,3,0,1,0
lecture,4,0,0,0
positions,0,2,2,0
portal,3,0,0,1
complaints,1,2,0,1
contract,0,0,0,4
convocation,2,1,0,1
community,0,1,3,0
phdphdprofessional,0,0,0,4
committees,0,3,0,1
msbs,0,0,0,4
msintegrated,0,0,0,4
newsletter,4,0,0,0
phdphdvisvesvaraya,0,0,0,4
colloquium,0,0,0,4
placement,3,0,1,0
house,2,0,1,1
grievance,1,1,0,2
chemical,1,1,2,0
click,4,0,0,0
retention,0,0,0,4
study,4,0,0,0
bank,0,0,0,4
ble,0,3,1,0
biologychemistryearth,0,0,0,4
sustainability,0,0,0,4
theatre,4,0,0,0
tomorrow,0,0,0,4
